index,Drug_Name,Reason,Description,Description_Length
1,a cn gel(topical) 20gma cn soap 75gm,Acne,mild to moderate acne (spots),5
2,a ret 0.05% gel 20gma ret 0.1% gel 20gma ret 0.025% gel 20gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
3,acgel cl nano gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
4,acgel nano gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
5,acleen 1% lotion 25ml,Acne,treat the most severe form of acne (nodular acne)â,9
6,aclene 0.10% gel 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
7,acnay gel 10gm,Acne,treat the most severe form of acne (nodular acne)â,9
8,acne aid bar 50gmacne aid bar 100gm,Acne,â treat acne vulgarisâ,4
9,acne uv gel 60gm,Acne,â treat acne vulgarisâ,4
10,acne uv spf 30 gel 30gm,Acne,â treat mild to moderate acne(spots),6
11,acnecure gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp,9
12,acnedap gel 15gm,Acne,mild to moderate acne (spots),5
13,acnedap plus gel 15gm,Acne,a ret 0.025% is a prescription medicine that is used to reduce fine wrinkles,14
14,acnehit gel 15gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
15,acnelak soap 75gm,Acne,"it is used to treat acne vulgaris in people 12 years of age and older. acne vulgaris is a condition in which the skin has blackheads, white heads and pimple",30
16,acnelak clz cream 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
17,acnelak z lotion 15gm,Acne,treat the most severe form of acne (nodular acne)â,9
18,acnemoist cream 60gm,Acne,treat the most severe form of acne (nodular acne)â,9
19,acnerex soap 75gm,Acne,â treat acne vulgarisâ,4
20,acneril 1% gel 10gmacneril tablet 10acneril 0.10% cream 20gm,Acne,â treat acne vulgarisâ,4
21,acnesol 1% solution 25mlacnesol gel 20gmacnesol solution 45ml,Acne,â treat mild to moderate acne(spots),6
22,acnesol a nano gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp,9
23,acnesol cl gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin,10
24,acnestal soap 75gm,Acne,"â gives smooth, soft, supple and fresh feeling to the skin",11
